Common Name,Name,CountryCode,NumberActors,MilFatalities,TotalFatalities,StartYear,StartMonth,StartDay,EndYear,EndMonth,EndDay,Region,Century,Decade,DurationD,DurationM,DurationY
,"China (minority in Hebei, Shandong, Anhui, Jiangsu), 1400-02",710,2,,10000,1400,,,1402,,,12,1,140,,,2
Glendower's Revolt,"England (Wales, with intervention by France), 1402-09",,3,,2700,1402,,,1409,,,3,1,140,,,7
,"Scotland-England, 1402-03",,2,,3000,1402,9,14,1403,,,3,1,140,,,1
Revolt of the Percys,"England, 1403",,2,,300,1403,,,1403,7,21,3,1,140,,,0
Conspiracy of Scrope,"England (York and Nottingham), 1405",,3,,300,1405,,,1405,6,,3,1,140,,,0
,"France (Burgundian civil war), 1405-07",,2,,1440,1405,,,1407,,,3,1,140,,,2
Russo-Lithuanian War with Vitoft?,"Muscovy-Poland, Lithuania, 1406-08",,3,,12800,1406,,,1408,,,4,1,140,,,2
Invasion of Edigey?,"Muscovy-Volga, Tartars, 1406-08",,3,,1200,1406,,,1408,,,4,1,140,,,2
,"China (Guangxi), 1407",710,2,,10000,1407,6,,1407,10,,12,1,140,,4,0
,"France (Burgundian civil war), 1408-10",,2,,2000,1408,,,1410,,,3,1,140,,,2
Northumberland's Rebellion,"England, 1408",,2,,300,1408,2,29,1408,,,3,1,140,,,0
Great Northern War,"(Poland-Lithuania)-Teutonic Order, 1409-11",,3,,2300,1409,,,1411,2,1,4,1,140,,,2
,"China (Ming)-Mongols (Mongolia), 1409-24",,2,,100000,1409,7,,1424,7,,9,1,140,,180,15
,"(Poland-Lithuania)-Teutonic Order, 1413-22",,3,,6000,1413,,,1422,9,27,4,1,141,,,9
,"Mongols (Tartars)-China (Mongolia), 1414-15",,2,,1000,1414,11,,1415,6,,9,1,141,,7,1
Phase 3 of Hundred Years War,"England-France, 1415-44",,2,,77000,1415,8,10,1444,,,3,1,141,,,29
,"Japan (Kamagura bakufu vs governors (Kanto), 1416-17",740,3,,100,1416,12,2,1417,1,10,12,1,141,38,1,1
,"China (peasants in Shanxi), 1416",710,2,,135,1416,,,1416,,,12,1,141,,,0
Hussite Wars,"Bohemia (Hussites, with intervention by Germany and others), 1419-34",,4,,23400,1419,6,30,1434,5,30,4,1,141,5370,179,15
,"Korea-Japanese pirates (Tsushima Island or Nagasaki), 1419",,,,2623,1419,6,20,1419,7,,12,1,141,,1,0
,"China-Japanese pirates (Liaoning), 1419",,2,,1000,1419,6,,1419,6,,12,1,141,,0,0
,"China (Qinghai), 1425",710,2,,480,1425,,,1425,,,12,1,142,,,0
,"Novgorod, Pskov-Lithuania, 1426-28",,3,,4800,1426,,,1428,,,4,1,142,,,2
,"China (Guangxi), 1428-30",710,2,,10380,1428,12,,1430,11,,12,1,142,,23,2
,"China (Guizhou), 1433",710,2,,800,1433,,,1433,,,12,1,143,,,0
